study,setting,arch,draft,target,ctx,batch,method,gamma,alpha,tpot,throughput,speedup
batch_bw,tpu_v8,hier,gpt3_6.7b,gpt3_175b,2048,32,baseline,0,0.0,0.0021924110808413,14595.802894646922,1.0
batch_bw,tpu_v8,hier,gpt3_6.7b,gpt3_175b,2048,32,spec,4,0.8,0.0014438608001399,22162.801287284063,1.518436597647696
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,baseline,0,0.0,0.0136669411303955,9365.66557057345,1.0
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,1,0.6,0.0109781668133024,11659.50583342386,1.2449201549602158
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,1,0.7,0.0103323922948728,12388.22494801285,1.3227276646452293
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,1,0.8,0.0097583705007132,13116.944062601842,1.4005351743302428
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,1,0.9,0.0092447720533073,13845.663177190834,1.4783426840152567
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,2,0.6,0.0110646237128177,11568.40063631979,1.2351925817922906
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,2,0.7,0.0099025856059921,12925.91703752058,1.380138650063835
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,2,0.8,0.0088879764250503,14401.478343173614,1.5376887242720354
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,2,0.9,0.0080024584786431,15995.08455327889,1.7078428044168914
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,4,0.6,0.0130834814573469,9783.328727700537,1.04459513891243
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,4,0.7,0.0108778171894483,11767.066661513862,1.2564047448464868
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,4,0.8,0.0089734872822641,14264.242648784752,1.523035660551711
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,4,0.9,0.0073661876017824,17376.695642265124,1.8553615342471776
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,8,0.6,0.0201391643507727,6355.775133991036,0.6786250358928712
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,8,0.7,0.0155809015592931,8215.185720344627,0.8771598407438777
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,8,0.8,0.0115134073655134,11117.473388755698,1.187045736897371
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,128,spec,8,0.9,0.0081361715568183,15732.21497434283,1.6797754367583684
batch_ratio,gpt3_6.7b->gpt3_30b,kv_buffer,gpt3_6.7b,gpt3_30b,2048,256,baseline,0,0.0,0.0135060571699341,18954.458490660185,1.0
batch_ratio,gpt3_6.7b->gpt3_30b,kv_buffer,gpt3_6.7b,gpt3_30b,2048,256,spec,4,0.8,0.0134568653385364,19023.746880106846,1.0036555193323409
batch_ratio,gpt3_6.7b->gpt3_175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,baseline,0,0.0,0.0030347592522801,329.5154300126637,1.0
batch_ratio,gpt3_6.7b->gpt3_175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,1,spec,4,0.8,0.001327684529312,753.1909711399061,2.2857532684006934
batch_bw,edge,hier,gpt3_6.7b,gpt3_175b,2048,4,baseline,0,0.0,0.0201750371277569,198.26481481398508,1.0
batch_bw,edge,hier,gpt3_6.7b,gpt3_175b,2048,4,spec,4,0.8,0.0092500430098407,432.4304217552892,2.181074953521136
batch_bw,tpu_v4,hier,gpt3_6.7b,gpt3_175b,2048,16,baseline,0,0.0,0.0042905286737777,3729.144172322276,1.0
