experiment,arch,ctx,gamma,alpha,draft,target,bits,base_E,base_L,spec_E,spec_L,round_E,round_L,yield,latency_speedup,energy_ratio
scheduler,kv_buffer,512,5,0.75,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0798242726372903,0.001414337810534,0.2624690683298404,0.0046504642656914,3.2880859375,2.1015620040261087,0.4841410258309227
scheduler,kv_buffer,512,5,0.8,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0711437105152876,0.0012605343768137,0.2624690683298404,0.0046504642656914,3.68928,2.357982977813652,0.4314926757528519
scheduler,kv_buffer,512,5,0.85,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.063209969707228,0.0011199632293032,0.2624690683298404,0.0046504642656914,4.1523365625,2.6539430275089586,0.383373860678347
scheduler,kv_buffer,512,5,0.9,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.056016225988582,0.0009925034554221,0.2624690683298404,0.0046504642656914,4.68559,2.994769022956747,0.3397431911032508
scheduler,kv_buffer,512,5,0.95,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0495396439446655,0.0008777504540467,0.2624690683298404,0.0046504642656914,5.298162187499999,3.386291160286272,0.3004621682887056
scheduler,kv_buffer,512,6,0.2,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.2597822950926193,0.0039890868067128,0.3247237123490527,0.0049862946830021,1.249984,0.7451125401618157,1.5756017898257364
scheduler,kv_buffer,512,6,0.25,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.2435576498410034,0.0037399492806403,0.3247237123490527,0.0049862946830021,1.333251953125,0.7947483723541027,1.4771979317467263
scheduler,kv_buffer,512,6,0.3,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.2273563214718428,0.003491169796936,0.3247237123490527,0.0049862946830021,1.4282590000000002,0.8513818508868712,1.378935492549694
scheduler,kv_buffer,512,6,0.35,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.2112063016763385,0.00324317818199,0.3247237123490527,0.0049862946830021,1.5374717031249998,0.9164832878999905,1.2809842442306143
scheduler,kv_buffer,512,6,0.4,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1951539676700622,0.0029966865810957,0.3247237123490527,0.0049862946830021,1.663936,0.991868359616356,1.1836254685598084
scheduler,kv_buffer,512,6,0.45,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1792679112154463,0.0027527482550015,0.3247237123490527,0.0049862946830021,1.811387828125,1.079764049645766,1.0872751804301206
scheduler,kv_buffer,512,6,0.5,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1636402959869242,0.0025127784229302,0.3247237123490527,0.0049862946830021,1.984375,1.1828812983875017,0.9924923603923318
scheduler,kv_buffer,512,6,0.55,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1483847319994665,0.0022785216233679,0.3247237123490527,0.0049862946830021,2.188390328125,1.3044943585316038,0.8999660628828358
scheduler,kv_buffer,512,6,0.6,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1336302774751494,0.0020519596097318,0.3247237123490527,0.0049862946830021,2.430016,1.4485268566588492,0.8104790370324858
scheduler,kv_buffer,512,6,0.65,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1195120524920942,0.0018351672182641,0.3247237123490527,0.0049862946830021,2.7170792031250004,1.6196445609394288,0.7248507976463751
scheduler,kv_buffer,512,6,0.7,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1061598323892498,0.0016301372140692,0.3247237123490527,0.0049862946830021,3.058819,1.823354854930323,0.6438684432303885
scheduler,kv_buffer,512,6,0.75,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0936865764444403,0.0014386041432398,0.3247237123490527,0.0049862946830021,3.466064453125,2.0661129174713784,0.568217081444592
scheduler,kv_buffer,512,6,0.8,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0821789087551861,0.0012618981620302,0.3247237123490527,0.0049862946830021,3.951424,2.3554346086800813,0.4984220948330357
scheduler,kv_buffer,512,6,0.85,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0716910719556673,0.0011008521931623,0.3247237123490527,0.0049862946830021,4.529486078124999,2.7000160620450333,0.4348124696011445
scheduler,kv_buffer,512,6,0.9,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.062243009932096,0.0009557724849636,0.3247237123490527,0.0049862946830021,5.217031,3.109859982618127,0.3775091671208267
scheduler,kv_buffer,512,6,0.95,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0538223168035332,0.00082646853894,0.3247237123490527,0.0049862946830021,6.033254078125,3.5964086513054188,0.326436944665457
scheduler,kv_buffer,512,7,0.2,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.241666044350689,0.004284258894319,0.3020817821070193,0.0053553099082703,1.2499968,0.6937766079956311,1.4657251830164058
scheduler,kv_buffer,512,7,0.25,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.2265647936846603,0.0040165437187961,0.3020817821070193,0.0053553099082703,1.33331298828125,0.7400189843736273,1.3741348089706344
scheduler,kv_buffer,512,7,0.3,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.2114711220952342,0.0037489629052454,0.3020817821070193,0.0053553099082703,1.4284777,0.792837560306875,1.2825904026712642
scheduler,kv_buffer,512,7,0.35,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1963973846132819,0.003481735483821,0.3020817821070193,0.0053553099082703,1.53811509609375,0.8536888047031769,1.1911668984349202
scheduler,kv_buffer,512,7,0.4,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1813679305511776,0.0032152931194609,0.3020817821070193,0.0053553099082703,1.6655744,0.9244316126220152,1.1000119769191463
scheduler,kv_buffer,512,7,0.45,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1664248255899013,0.0029503815531253,0.3020817821070193,0.0053553099082703,1.81512452265625,1.0074353265689495,1.0093807700690165
scheduler,kv_buffer,512,7,0.5,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1516332082733273,0.0026881555617984,0.3020817821070193,0.0053553099082703,1.9921875,1.105709299608844,0.9196683487121172
scheduler,kv_buffer,512,7,0.55,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1370846658376594,0.0024302388052394,0.3020817821070193,0.0053553099082703,2.20361468046875,1.223056185699824,0.8314301972521748
scheduler,kv_buffer,512,7,0.6,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1228969089897042,0.0021787180604462,0.3020817821070193,0.0053553099082703,2.4580096,1.3642511426498836,0.745380241171524
scheduler,kv_buffer,512,7,0.65,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1092084958087616,0.0019360496869181,0.3020817821070193,0.0053553099082703,2.7661014820312504,1.5352491330980438,0.6623588470458085
scheduler,kv_buffer,512,7,0.7,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0961684546685212,0.001704875661674,0.3020817821070193,0.0053553099082703,3.1411733,1.743422508921977,0.58326988467969
scheduler,kv_buffer,512,7,0.75,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0839221351087987,0.0014877727433166,0.3020817821070193,0.0053553099082703,3.59954833984375,1.9978310644740067,0.5089949114364308
scheduler,kv_buffer,512,7,0.8,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0725959328894883,0.0012869816775825,0.3020817821070193,0.0053553099082703,4.161139200000001,2.309526744047389,0.4403005283865343
scheduler,kv_buffer,512,7,0.85,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0622840923391216,0.001104173229199,0.3020817821070193,0.0053553099082703,4.850063166406249,2.691895188974786,0.3777583354254519
scheduler,kv_buffer,512,7,0.9,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0530402792272977,0.0009402987856538,0.3020817821070193,0.0053553099082703,5.6953279000000006,3.161036309760858,0.3216938200256953
scheduler,kv_buffer,512,7,0.95,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0448752405358351,0.0007955488695853,0.3020817821070193,0.0053553099082703,6.731591374218749,3.7361860686508415,0.2721721635491512
scheduler,kv_buffer,512,8,0.2,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.2777708108828623,0.0045264021591098,0.3472133358302589,0.0056579998019898,1.24999936,0.6566625100895473,1.6847036732520508
scheduler,kv_buffer,512,8,0.25,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.2604109952618058,0.0042435160392214,0.3472133358302589,0.0056579998019898,1.3333282470703125,0.7004376974196912,1.579414910005773
scheduler,kv_buffer,512,8,0.3,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.2430541191154078,0.0039606778194144,0.3472133358302589,0.0056579998019898,1.42854331,0.7504570528069955,1.4741439749241572
scheduler,kv_buffer,512,8,0.35,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.2257064574882676,0.0036779897544049,0.3472133358302589,0.0056579998019898,1.5383402836328124,0.8081367273837555,1.3689289266882163
scheduler,kv_buffer,512,8,0.4,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.2083826277537252,0.003395690040964,0.3472133358302589,0.0056579998019898,1.66622976,0.8753209414343253,1.26385842091472
