study,setting,arch,ctx,gamma,alpha,draft,target,bits,base_E,base_L,spec_E,spec_L,round_E,round_L,yield,latency_speedup,energy_ratio
kv_org,baseline,baseline,1024,1,0.35,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1374766956263917,0.0024704017531198,0.1855935390956288,0.0033350423667117,1.35,1.211597324897692,0.8253985153065648
kv_org,baseline,baseline,1024,1,0.4,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1325668136397348,0.0023821731190798,0.1855935390956288,0.0033350423667117,1.4,1.2564712998939027,0.7959199969027589
kv_org,baseline,baseline,1024,1,0.45,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1279955442038819,0.0023000292184219,0.1855935390956288,0.0033350423667117,1.45,1.301345274890113,0.7684744797681811
kv_org,baseline,baseline,1024,1,0.5,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1237290260637525,0.0022233615778078,0.1855935390956288,0.0033350423667117,1.5,1.346219249886324,0.7428586637759084
kv_org,baseline,baseline,1024,1,0.55,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1197377671584702,0.0021516402365882,0.1855935390956288,0.0033350423667117,1.5500000000000005,1.3910932248825354,0.7188954810734597
kv_org,baseline,baseline,1024,1,0.6,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.115995961934768,0.0020844014791948,0.1855935390956288,0.0033350423667117,1.6,1.4359671998787458,0.6964299972899142
kv_org,baseline,baseline,1024,1,0.65,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1124809327852296,0.0020212377980071,0.1855935390956288,0.0033350423667117,1.65,1.4808411748749566,0.6753260579780986
kv_org,baseline,baseline,1024,1,0.7,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1091726700562522,0.0019617896274775,0.1855935390956288,0.0033350423667117,1.6999999999999995,1.5257151498711672,0.6554635268610958
kv_org,baseline,baseline,1024,1,0.75,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1060534509117879,0.0019057384952638,0.1855935390956288,0.0033350423667117,1.75,1.5705891248673782,0.6367359975222071
kv_org,baseline,baseline,1024,1,0.8,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1031075217197938,0.0018528013148398,0.1855935390956288,0.0033350423667117,1.7999999999999998,1.6154630998635888,0.6190488864799237
kv_org,baseline,baseline,1024,1,0.85,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1003208319435831,0.0018027256036279,0.1855935390956288,0.0033350423667117,1.8500000000000003,1.6603370748598003,0.6023178354939797
kv_org,baseline,baseline,1024,1,0.9,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.0976808100503309,0.001755285456164,0.1855935390956288,0.0033350423667117,1.9,1.705211049856011,0.5864673661388751
kv_org,baseline,baseline,1024,1,0.95,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.0951761738951943,0.0017102781367752,0.1855935390956288,0.0033350423667117,1.9499999999999988,1.7500850248522204,0.5714297413660837
kv_org,baseline,baseline,1024,2,0.2,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1882583671393409,0.0029661868012468,0.2334403752527828,0.003678071633546,1.24,1.009084173068406,1.13028739905951
kv_org,baseline,baseline,1024,2,0.25,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1778593335259297,0.0028023402922255,0.2334403752527828,0.003678071633546,1.3125,1.0680830460905504,1.067852476063842
kv_org,baseline,baseline,1024,2,0.3,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1679427160091962,0.0026460947003928,0.2334403752527828,0.003678071633546,1.39,1.131150806907326,1.008313938729347
kv_org,baseline,baseline,1024,2,0.35,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1585333618015503,0.0024978415168394,0.2334403752527828,0.003678071633546,1.4725,1.1982874555187315,0.9518209676290612
kv_org,baseline,baseline,1024,2,0.4,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1496412661876812,0.002357738226632,0.2334403752527828,0.003678071633546,1.56,1.2694929919247686,0.8984335736114054
kv_org,baseline,baseline,1024,2,0.45,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1412649774600803,0.00222576195676,0.2334403752527828,0.003678071633546,1.6525,1.344767416125436,0.8481430407466218
kv_org,baseline,baseline,1024,2,0.5,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1333945001444473,0.0021017552191691,0.2334403752527828,0.003678071633546,1.75,1.424110728120734,0.8008893570478814
kv_org,baseline,baseline,1024,2,0.55,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1260136978422579,0.0019854637697954,0.2334403752527828,0.003678071633546,1.8525,1.5075229279106626,0.7565756409359203
kv_org,baseline,baseline,1024,2,0.6,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1191022322718279,0.0018765671599724,0.2334403752527828,0.003678071633546,1.96,1.595004015495222,0.7150797830784656
kv_org,baseline,baseline,1024,2,0.65,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1126370930049615,0.0017747028388641,0.2334403752527828,0.003678071633546,2.0725,1.6865539908744125,0.6762636308003823
kv_org,baseline,baseline,1024,2,0.7,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1065937786542387,0.0016794847641762,0.2334403752527828,0.003678071633546,2.19,1.782172854048233,0.6399800798327819
kv_org,baseline,baseline,1024,2,0.75,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1009471892985006,0.001590517463155,0.2334403752527828,0.003678071633546,2.3125,1.881860605016684,0.6060784323605589
kv_org,baseline,baseline,1024,2,0.8,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.095672284939665,0.001507406407191,0.2334403752527828,0.003678071633546,2.44,1.985617243779766,0.5744083503417182
kv_org,baseline,baseline,1024,2,0.85,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.0907445579213927,0.0014297654552171,0.2334403752527828,0.003678071633546,2.5725,2.093442770337479,0.5448226918693071
kv_org,baseline,baseline,1024,2,0.9,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.0861403598718755,0.0013572220049985,0.2334403752527828,0.003678071633546,2.7099999999999995,2.205337184689822,0.5171794741084106
kv_org,baseline,baseline,1024,2,0.95,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.0818371166530351,0.0012894203798583,0.2334403752527828,0.003678071633546,2.8525,2.321300486836796,0.4913431638330561
kv_org,baseline,baseline,1024,4,0.2,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.2191913824537217,0.0034959795279902,0.2739015515141707,0.0043685760181766,1.2496,0.856164096940014,1.316006620765503
kv_org,baseline,baseline,1024,4,0.25,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.2056269712247146,0.0032796347819742,0.2739015515141707,0.0043685760181766,1.33203125,0.9126419112132906,1.2345670368533566
kv_org,baseline,baseline,1024,4,0.3,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1921981275097682,0.0030654522617196,0.2739015515141707,0.0043685760181766,1.4251,0.9764080142039164,1.153941388891006
kv_org,baseline,baseline,1024,4,0.35,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1789760241208984,0.0028545671336319,0.2739015515141707,0.0043685760181766,1.53038125,1.0485415179899007,1.0745569924543783
