experiment,arch,ctx,Ld,Lt,method,config,tau,L_per_tok,E_per_tok,latency_speedup,energy_ratio,alpha,tree_depth,tree_nodes,tree_layer_counts
eagle,kv_buffer,2048,32,96,eagle,tree_d6_n63,5.0,0.10062241022252323,6.523837875048121,2.895347940628844,0.40440137291494516,,6.0,63.0,1 2 4 8 16 32
eagle,kv_buffer,2048,32,96,eagle,tree_d6_n63,6.0,0.08385200851876935,5.436531562540101,3.474417528754613,0.33700114409578763,,6.0,63.0,1 2 4 8 16 32
eagle,kv_buffer,2048,32,96,eagle,tree_d6_n63,7.0,0.07187315015894516,4.6598841964629445,4.053487116880381,0.28885812351067514,,6.0,63.0,1 2 4 8 16 32
eagle,kv_buffer,2048,32,96,eagle,tree_d7_n127,4.0,0.0922091907089122,7.227722082876181,3.1595211494545206,0.44803393176615913,,7.0,127.0,1 2 4 8 16 32 64
eagle,kv_buffer,2048,32,96,eagle,tree_d7_n127,5.0,0.07376735256712977,5.782177666300944,3.94940143681815,0.35842714541292725,,7.0,127.0,1 2 4 8 16 32 64
eagle,kv_buffer,2048,32,96,eagle,tree_d7_n127,6.0,0.06147279380594147,4.818481388584121,4.73928172418178,0.2986892878441061,,7.0,127.0,1 2 4 8 16 32 64
eagle,kv_buffer,2048,32,96,eagle,tree_d7_n127,7.0,0.0526909661193784,4.130126904500675,5.52916201154541,0.2560193895806624,,7.0,127.0,1 2 4 8 16 32 64
eagle,kv_buffer,4096,32,96,baseline,ar,1.0,0.29932929219171456,16.40058247216639,1.0,1.0,,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.2,0.2596687385184519,14.216371074556502,1.1527351883000903,0.8668211082553477,0.2,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.25,0.2492819889777138,13.647716231574242,1.2007658211459276,0.8321482639251337,0.25,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.3,0.23969422017087866,13.122804068821386,1.2487964539917646,0.8001425614664748,0.3,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.35,0.2308166564608461,12.636774288494667,1.2968270868376017,0.7705076517825312,0.35,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.4,0.22257320444438736,12.185460921048431,1.3448577196834386,0.7429895213617267,0.4,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.45,0.21489826636009812,11.76527261342607,1.3928883525292757,0.7173691930389084,0.45,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.5,0.20773499081476152,11.373096859645202,1.440918985375113,0.6934568866042782,0.5,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.5500000000000003,0.20103386207880142,11.00622276739858,1.4889496182209503,0.6710873096170432,0.55,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.5999999999999999,0.19475155388883894,10.662278305917377,1.536980251066787,0.6501158311915108,0.6,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.65,0.1888499916497832,10.33917896331382,1.5850108839126242,0.6304153514584347,0.65,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.6999999999999997,0.18329558013067196,10.035085464392827,1.6330415167584609,0.6118737234743632,0.7,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.75,0.17805856355550986,9.748368736838744,1.6810721496042984,0.5943916170893813,0.75,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.7999999999999998,0.1731124923456346,9.477580716371003,1.7291027824501353,0.5778807388368986,0.8,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.8500000000000003,0.16843377633629308,9.22142988619881,1.777133415295973,0.5622623404899552,0.85,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.9,0.16400130853796963,8.978760678667264,1.8251640481418097,0.5474659631086406,0.9,,,
eagle,kv_buffer,4096,32,96,vanilla,g1,1.9499999999999988,0.15979614678058587,8.748536045880929,1.8731946809876456,0.5334283743109836,0.95,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,1.24,0.26142474428826656,16.594671648429028,1.1449921965368801,1.0118342855561397,0.2,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,1.3125,0.2469841393656766,15.678013595468187,1.2119373048021413,0.9559424869254196,0.25,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,1.3900000000000001,0.23321344094780613,14.803879743922298,1.2834993170856963,0.9026435353162685,0.3,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,1.4725,0.22014715308485608,13.974460335519183,1.359678233387545,0.8520709773104335,0.35,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,1.56,0.20779915571631444,13.190636438494868,1.440474053707688,0.804278534672829,0.4,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,1.6524999999999999,0.19616743293037855,12.452280087172163,1.5258867780461245,0.7592584048953788,0.45,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,1.75,0.18523810452425746,11.75851019660114,1.615916406402855,0.7169568651940648,0.5,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,1.8525,0.17498876270847533,11.107904369258836,1.7105629387778796,0.6772871870929086,0.55,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,1.96,0.1653911647538013,10.498669818393875,1.8098263751711976,0.6401400582089863,0.6,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,2.0725000000000002,0.15641335725811845,9.92877821184656,1.9137067155828102,0.6053918041445661,0.65,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,2.19,0.14802131640066235,9.396069791804564,2.0222039600127157,0.5729107370272206,0.7,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,2.3125,0.1401801872075462,8.898332040671134,2.1353181084609156,0.5425619520387517,0.75,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,2.44,0.13285519791698794,8.43335772297213,2.253049160927409,0.5142108664301693,0.8,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,2.5725000000000002,0.12601231600289622,7.998986528300095,2.375397117412197,0.4877257586354181,0.85,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,2.7099999999999995,0.1196187021835611,7.593133890794096,2.502361977915278,0.46297952549432236,0.9,,,
eagle,kv_buffer,4096,32,96,vanilla,g2,2.8524999999999996,0.11364300891058741,7.213809936565118,2.6339437424366534,0.4398508375423711,0.95,,,
eagle,kv_buffer,4096,32,96,vanilla,g4,1.2496,0.27971457278015227,17.698285702897454,1.0701240525890616,1.0791254355101967,0.2,,,
eagle,kv_buffer,4096,32,96,vanilla,g4,1.33203125,0.26240475225042825,16.603047274109116,1.1407159726514673,1.0123449763010752,0.25,,,
eagle,kv_buffer,4096,32,96,vanilla,g4,1.4251,0.245267932177446,15.51875504479732,1.220417563496056,0.9462319445747961,0.3,,,
eagle,kv_buffer,4096,32,96,vanilla,g4,1.53038125,0.22839493763144203,14.451155758959187,1.310577613041224,0.881136739105724,0.35,,,
eagle,kv_buffer,4096,32,96,vanilla,g4,1.6496,0.21188853670349073,13.406751827316114,1.412673365197596,0.8174558342710608,0.4,,,
eagle,kv_buffer,4096,32,96,vanilla,g4,1.78463125,0.19585633174700842,12.392351537238106,1.5283105198680238,0.7556043548007702,0.45,,,
eagle,kv_buffer,4096,32,96,vanilla,g4,1.9375,0.18040326717216945,11.414595000950019,1.6592232329475884,0.6959871712069894,0.5,,,
eagle,kv_buffer,4096,32,96,vanilla,g4,2.11038125,0.16562473256719765,10.47951777165413,1.8072741163235992,0.6389722919560348,0.55,,,
eagle,kv_buffer,4096,32,96,vanilla,g4,2.3056,0.1516010279953497,9.592200648135261,1.9744542378755927,0.5848695108490378,0.6,,,
eagle,kv_buffer,4096,32,96,vanilla,g4,2.52563125,0.13839365115001578,8.756534753179293,2.1628831214753337,0.5339160830440081,0.65,,,
